,loss
0,0.873947024345398
1,0.7869473099708557
2,0.7438949942588806
3,0.6959148049354553
4,0.6579902172088623
5,0.6162623763084412
6,0.5764967203140259
7,0.6072937250137329
8,0.6318510174751282
9,0.5956875085830688
10,0.6063256859779358
11,0.6261581778526306
